iter	MultiClass
0	1.419052002
1	1.279223994
2	1.171996794
3	1.124919497
4	1.060078438
5	1.002426394
6	0.9470431161
7	0.9024057164
8	0.8552142596
9	0.8209681328
10	0.7886247906
11	0.7552425625
12	0.7296940104
13	0.7021211196
14	0.6773760162
15	0.6554447856
16	0.637925716
17	0.6151181237
18	0.5985072044
19	0.5825508383
20	0.5687885104
21	0.551433298
22	0.5401941631
23	0.5281235069
24	0.5146058929
25	0.5049345023
26	0.4967007763
27	0.4859327105
2828	0.4084205492929	0.398686577
30	0.3897935944
31	0.3809033991332	0.374066087
33	0.3653518395
34	0.4228403793
35	0.4156423755336	0.4102848274337	0.4050757364
38	0.3994826352
39	0.3938346962
40	0.3894503935
41	0.3844761524
42	0.3795248572443	0.3760150689444	0.3697970504445	0.365258560446	0.3548337331447	0.3493688891448	0.3442074843449	0.3410019026
50	0.3358628369551	0.3316662375
52	0.3275187795
53	0.3242692389
54	0.3205988109
55	0.3164629713
56	0.3138367743
57	0.3114295188
58	0.3082875155
59	0.3052034888
60	0.3036651202
61	0.3006019499
62	0.2983728605
63	0.2958020171
64	0.2930877678
65	0.2898842983
66	0.2877451071
67	0.2845321268
68	0.2821686626
69	0.2796058734
70	0.2770143021
71	0.2724615331
72	0.2709464283
73	0.2687004564
74	0.266207599
75	0.26468119
76	0.2618288502
77	0.258075354
78	0.256242471
79	0.254863759
80	0.2517229511
81	0.2493873842
82	0.2456568594
83	0.2435153093
84	0.2414560829
85	0.239794713
86	0.2375291176
87	0.2365634446
88	0.2351628107
89	0.2326185162
90	0.2309846142
91	0.2294637994
92	0.2283850102
93	0.2270926201
94	0.224614276
95	0.2229860718
96	0.2214769177
97	0.2201212582
98	0.218671238
99	0.2171495563
2371
