iter	Passed	Remaining
0	233	23142
1	283	13905
2	328	10629
3	398	9559
4	445	8467
5	506	7937
6	565	7507
7	617	7098
8	675	6830
9	719	6473
10	759	6148
11	805	5905
12	848	5676
13	892	5480
14	926	5250
15	960	5042
16	991	4841
17	1030	4694
18	1064	4537
19	1095	4380
20	1128	4246
21	1165	4132
22	1197	4009
23	1228	3889
24	1267	3802
25	1301	3705
26	1337	3616
27	1368	3517
28	1399	3426
29	1437	3354
30	1467	3266
31	1501	3190
32	1532	3112
33	1568	3044
34	1603	2977
35	1640	2915
36	1673	2849
37	1702	2777
38	1732	2709
39	1765	2647
40	1792	2579
41	1823	2518
42	1853	2457
43	1882	2396
44	1917	2343
45	1950	2289
46	1983	2236
47	2019	2187
48	2053	2137
49	2091	2091
50	2125	2042
51	2157	1991
52	2187	1939
53	2217	1888
54	2245	1836
55	2274	1787
56	2304	1738
57	2331	1688
58	2361	1641
59	2389	1593
60	2419	1546
61	2445	1499
62	2471	1451
63	2500	1406
64	2528	1361
65	2561	1319
66	2592	1277
67	2620	1233
68	2647	1189
69	2675	1146
70	2703	1104
71	2733	1063
72	2760	1021
73	2787	979
74	2815	938
75	2843	897
76	2873	858
77	2900	818
78	2928	778
79	2954	738
80	2985	700
81	3016	662
82	3049	624
83	3084	587
84	3113	549
85	3142	511
86	3156	471
87	3173	432
88	3185	393
89	3196	355
90	3208	317
91	3221	280
92	3233	243
93	3248	207
94	3259	171
95	3271	136
96	3283	101
97	3295	67
98	3306	33
99	3318	0
